,index,start_year,year,Y_S,Y_L,Y,INCB,ICS,delay
0,0,1,0,0.0,0.0,0.0,-1.2536857225530489,17.030626115949527,1
1,1,1,1,0.0,0.0,0.0,-2.18891175965385,32.807566509346,1
2,2,1,2,0.0,0.0,0.0,-2.917140634475354,47.649280865641686,1
3,3,1,3,0.0,0.0,0.0,-3.4834220222733077,61.76276634711585,1
4,4,1,4,0.0,0.0,0.0,-3.9431219984884325,75.3665131043427,1
5,5,1,5,0.0,0.0,0.0,-4.3385138722386625,88.51055988535443,1
6,6,1,6,0.0,0.0,0.0,-4.680327854573631,101.25921479261591,1
7,7,1,7,0.0,0.0,0.0,-4.9729139822162765,113.66605571754243,1
8,8,1,8,0.0,0.0,0.0,-5.230800982988341,125.78031051482631,1
9,9,1,9,0.0,0.0,0.0,-5.464088649767969,137.63667831133813,1
10,10,1,10,0.0,0.0,0.0,-5.661689760102995,149.2597584410703,1
11,11,1,11,0.0,0.0,0.0,-5.83802919195683,160.68523746046745,1
12,12,1,12,0.0,0.0,0.0,-5.997819402735693,171.93437704801076,1
13,13,1,13,0.0,0.0,0.0,-6.121138797415169,183.02372642477525,1
14,14,1,14,0.0,0.0,0.0,-6.259175575978306,193.98975640686024,1
15,15,1,15,0.0,0.0,0.0,-6.33678404143323,204.81774961038207,1
16,16,1,16,0.0,0.0,0.0,-6.386468429918804,215.568134348449,1
17,17,1,17,0.0,0.0,0.0,-6.462966314994988,226.26883469803036,1
18,18,1,18,0.0,0.0,0.0,-6.535481045501751,236.8930371625355,1
19,19,1,19,0.0,0.0,0.0,-6.553627158491762,247.44472489653393,1
20,20,1,20,0.0,0.0,0.0,-6.590100467786783,257.9782665175423,1
21,21,1,21,0.0,0.0,0.0,-6.609394518414545,268.47533482925564,1
22,22,1,22,0.0,0.0,0.0,-6.625433815801677,278.9531090903413,1
23,23,1,23,0.0,0.0,0.0,-6.613315449480372,289.41484405403975,1
24,24,1,24,0.0,0.0,0.0,-6.572774017284357,299.8886973840595,1
25,25,1,25,0.0,0.0,0.0,-6.5524578923973,310.40309214627536,1
26,26,1,26,0.0,0.0,0.0,-6.521644319120928,320.9378030333782,1
27,27,1,27,0.0,0.0,0.0,-6.446658255759213,331.5033274937574,1
28,28,1,28,0.0,0.0,0.0,-6.3548350812562395,342.1438380174984,1
29,29,1,29,0.0,0.0,0.0,-6.269993403251464,352.87617171574226,1
30,30,1,30,0.0,0.0,0.0,-6.12635212247665,363.6933470919909,1
31,31,1,31,0.0,0.0,0.0,-5.982608599137705,374.65416374901446,1
32,32,1,32,0.0,0.0,0.0,-5.835137687173535,385.75872392937686,1
33,33,1,33,0.0,0.0,0.0,-5.633059259022866,397.0107550217035,1
34,34,1,34,0.0,0.0,0.0,-5.509064110803425,408.4648645421808,1
35,35,1,35,0.0,0.0,0.0,-5.267818147718839,420.0429692108775,1
36,36,1,36,0.0,0.0,0.0,-4.971764330450855,431.86231984265885,1
